H3,有防浪墙的加固岸,有防浪墙的加固岸 绘制命令,管桩和加固岸,CmJiaguanF,有防浪墙的加固岸.png
H4,无防浪墙的加固岸,无防浪墙的加固岸 绘制命令,管桩和加固岸,CmJiaguan,无防浪墙的加固岸.png
I1,普通房屋,普通房屋 绘制命令,居民地,CmPutongFangwu,普通房屋.png
I2,高层或突出房屋,高层或突出房屋 绘制命令,居民地,CmTuchuFangwu,高层或突出房屋.png
I3,高层房屋,高层房屋 绘制命令,居民地,CmGaocengFangwu,高层房屋.png
I4,棚房,棚房 绘制命令,居民地,CmPengfang,棚房.png
I5,破坏房屋,破坏房屋 绘制命令,居民地,CmPohuaiFangwu,破坏房屋.png
I6,居民地名称注记,居民地名称注记 绘制命令,居民地,CmJmdMingchengZhuji,居民地名称注记.png
I7,居民地性质注记,居民地性质注记 绘制命令,居民地,CmJmdXingzhiZhuji,居民地性质注记.png
J1,水厂,水厂 绘制命令,工矿设施,CmShuichang,水厂.png
J2,污水厂,污水厂 绘制命令,工矿设施,CmWscZj,污水厂标注.png
J3,液气贮存设备,液气贮存设备 绘制命令,工矿设施,CmYqZcsb,液气贮存设备.png
J4,液气贮存设备范围线,液气贮存设备范围线 绘制命令,工矿设施,CmYqZcsbFwx,液气贮存设备范围线.png
J5,工业塔类建筑,工业塔类建筑 绘制命令,工矿设施,CmGyt,工业塔类建筑.png
J6,水塔,水塔 绘制命令,工矿设施,CmShuita,水塔.png
J7,水塔烟囱,水塔烟囱 绘制命令,工矿设施,CmShuitaYc,水塔烟囱.png
J8,烟囱,烟囱 绘制命令,工矿设施,CmYancong,烟囱.png
J9,露天设备,露天设备 绘制命令,工矿设施,CmLtsb,露天设备.png
J10,露天设备范围线,露天设备范围线 绘制命令,工矿设施,CmLtsbFyx,露天设备范围线.png
J11,工矿设施名称注记,工矿设施名称注记 绘制命令,工矿设施,CmGkssMczj,工矿设施名称注记.png
J12,工矿设施性质注记,工矿设施性质注记 绘制命令,工矿设施,CmGkssXzzj,工矿设施性质注记.png
K1,不依比例饲养场,不依比例饲养场 绘制命令,农业设施,CmByblSyc,不依比例饲养场.png
K2,依比例饲养场边线,依比例饲养场边线 绘制命令,农业设施,CmYblSycBx,依比例饲养场边线.png
K3,依比例饲养场范围线,依比例饲养场范围线 绘制命令,农业设施,CmYblSycFyx,依比例饲养场范围线.png
K4,不依比例水产养殖场,不依比例水产养殖场 绘制命令,农业设施,CmByblScyzc,不依比例水产养殖场.png
K5,依比例水产养殖场,依比例水产养殖场 绘制命令,农业设施,CmYblScyzc,依比例水产养殖场.png
K6,粮库符号,粮库符号 绘制命令,农业设施,CmLkfh,粮库符号.png
K7,粮库边线,粮库边线 绘制命令,农业设施,CmLkbx,粮库边线.png
